,KALCODE,neighbors
195,03020203,"['03050205', '03020208', '03020203', '03020204']"
196,03020204,"['03050205', '03020208', '03020102', '03020108', '03020203', '03020204', '03020109', '03020206', '03020207']"
197,03020205,"['03020206', '03020207', '03020205', '03030303', '03030105']"
198,03020206,"['03020208', '03020204', '03020109', '03020206', '03020114', '03030102', '03030108', '03030103', '03020207', '03020205', '03030105']"
199,03020207,"['03020201', '03020208', '03020204', '03020206', '03020207', '03020202', '03020205', '03030303']"
200,03020208,"['03050205', '03020201', '03020208', '03020203', '03020204', '03020206', '03020207']"
201,03030101,"['03020104', '03030106', '03030101', '03030107', '03030202', '03030205', '03030201']"
202,03030102,"['03020104', '03020109', '03020111', '03020206', '03020114', '03030102', '03030107', '03030103']"
203,03030103,"['03020206', '03030102', '03030107', '03030108', '03030103', '03030205', '03030304', '03030204']"
204,03030104,"['03020104', '03020115', '03030104', '03030106']"
205,03030105,"['03020206', '03030108', '03020205', '03030303', '03030105', '03030304']"
206,08020201,"['08010202', '08020204', '08020201', '08020202', '08020206', '08020205']"
207,08020202,"['08020204', '08020203', '08020104', '08020201', '08020202', '08020205', '08020103']"
208,08020203,"['08020301', '08020305', '08020204', '08020203', '08020104', '08020202']"
209,08020204,"['08010203', '08010202', '08020301', '08020204', '08020203', '08020201', '08020202', '08020206']"
210,08020205,"['08020201', '08020202', '08020206', '08020205', '08030302', '10030201', '08020103']"
211,08020206,"['08010202', '08020204', '08020201', '08010201', '08020206', '08020205', '08030302']"
212,08020301,"['08010301', '08010203', '08010304', '08010303', '08020304', '08020301', '08020305', '08020204', '08020203']"
213,08020302,"['11030203', '08020305', '08020302', '08020104', '08020303', '08020101']"
214,08020303,"['11030203', '08020302', '11030201', '11030101', '08020303', '08020407', '08020101']"
215,08020304,"['11030202', '08010304', '08020304', '11030203', '08020301', '08020305']"
216,08020305,"['08020304', '11030203', '08020301', '08020305', '08020302', '08020203', '08020104']"
217,08020401,"['08020408', '08020405', '08020401', '07130302', '08020402', '07130305']"
218,08020402,"['08020405', '08020401', '08020402', '07130305', '08020101']"
219,08020403,"['07040203', '07040301', '07040201', '11030101', '08020403', '08020406', '08020408', '07130302']"
220,08020404,"['08020407', '08020404', '08020408', '08020405', '08020101']"
221,08020405,"['08020404', '08020408', '08020405', '08020401', '08020402', '08020101']"
222,08020406,"['11030101', '08020403', '08020406', '08020407', '08020408']"
223,08020407,"['11030101', '08020303', '08020406', '08020407', '08020404', '08020408', '08020101']"
