,KALCODE,Result,Average_Fuel_Price
442,27040101,"[0, 1, 2]",1.9066124014439063
443,27040102,"[1, 0]",1.7965741555492478
444,27040201,"[1, 0]",1.8014647189839823
445,27040301,[0],1.8486897292651483
446,27050101,"[1, 0]",1.8431603061518216
447,27050301,"[0, 1]",1.8413133789433673
448,27050401,[0],1.8233781014023733
449,27060101,"[0, 1]",1.934455658990691
450,27060201,"[0, 1]",1.9060534820209378
451,27060301,"[1, 0]",1.8190616055350204
452,27060305,"[1, 0]",2.1488128378378377
453,27060308,"[2, 0, 1]",2.0045022148394245
454,27070101,"[1, 0, 1, 2]",1.8595590495162209
455,27070102,"[0, 1, 2]",1.8138211098506334
456,27070103,"[2, 0, 1]",2.00868345323741
457,27070104,"[1, 0, 2, 0, 0, 0, 0]",1.9510843409023888
458,27070201,"[0, 1]",1.9788770999115823
459,27070202,"[2, 0, 1]",1.855707100591716
460,27070301,[0],1.8744770245893856
461,28010101,"[1, 2, 0, 1]",1.8286851690468415
462,28010301,"[2, 1, 0]",1.8048678260869568
463,28010501,"[1, 0]",1.618677749360614
464,28020101,"[0, 0, 2, 1]",1.919782346803263
465,28020103,"[1, 2, 0]",1.8943572445203531
466,28020201,[0],1.7424623135832322
467,28030101,"[1, 0, 2]",1.8187321569369541
468,28030301,"[2, 2, 2, 1, 0]",1.7710050813008131
469,28040101,"[1, 2, 0]",1.811142528512961
470,28040102,"[1, 0, 2]",1.6968787878787879
471,28040201,"[1, 2, 0]",1.7235111205754308
472,28040301,[0],1.9236025933314336
473,28050101,"[0, 2, 1]",1.8363770281810419
474,28050102,"[0, 1, 1, 1, 1, 2]",1.7861431706394248
475,28050202,"[1, 2, 1, 0]",1.823031722054381
476,28060101,"[0, 1]",1.8012700510493478
477,28060401,"[0, 1]",1.849878064587691
478,29010101,"[0, 1, 2, 1]",1.7995511903091452
479,29010201,"[0, 0, 1, 2]",1.8008062978723405
480,29010202,"[2, 1, 0]",1.9145420560747666
481,29010301,"[2, 0, 2, 1, 0]",1.735154657210402
482,29010304,"[2, 1, 0]",1.847592203614344
483,29010401,"[0, 2, 1]",1.7911524257096747
484,29010405,"[0, 1]",1.7780164739884392
485,29010406,"[2, 0, 1]",1.752021316379955
486,29020201,[0],1.9789999999999996
487,29020212,"[1, 0]",1.776564209274673
488,29030101,"[0, 0, 1, 2]",1.7425124857954544
489,29030201,"[1, 0]",1.8129735153664301
490,29040101,"[1, 2, 0]",1.7587228687671492
491,29040106,"[1, 0]",1.7989497109826589
492,29040201,"[0, 2, 1]",1.9070083499383244
493,29040202,"[0, 1]",1.679361008522727
494,29040304,"[1, 0]",1.8129180522565322
495,29050201,[0],1.8126252839295853
496,29060101,"[2, 0, 1]",1.7809930437251564
497,29060201,"[0, 1]",1.8491322165436306
498,29060204,"[1, 1, 1, 0, 2]",2.0015060565275906
499,29060301,"[0, 1, 1, 2]",1.8393570357035705
500,29060306,"[0, 1]",1.8480171306209852
501,29060307,"[1, 1, 2, 0]",1.748573826458037
502,29060401,"[0, 1]",1.7846376518218623
503,29060411,"[0, 1]",1.9425866916588563
504,29060501,[0],1.9705626710454298
505,29060509,[0],1.799
506,29070101,"[0, 1, 2]",1.8887549803209205
507,29070102,"[0, 1]",1.798074189880614
508,29070104,"[0, 2, 1]",1.9147941834451905
509,29070201,"[0, 1, 1, 2]",1.8691848512173128
510,29070204,"[0, 1]",1.9271345320623918
511,29070206,"[1, 0, 2]",1.760946859903382
512,29070207,"[1, 0, 2]",1.9330321910695745
513,29070303,[0],1.998
514,29080000,[0],1.929079231362185
515,30010101,[0],1.947532465537959
516,30020301,[0],1.9754688510138114
517,30020505,[0],1.825886065105654
518,31010101,[0],1.834398989612842
519,31010201,[0],1.8940806112702961
520,31010301,[0],1.6802941176470587
521,31010401,"[0, 2, 1]",2.055023809523809
522,31010501,"[1, 2, 0]",1.8724015647226173
523,31010601,[0],1.8331100362113035
524,31020101,[0],1.8599083689966716
525,31020302,[0],1.9460422013116623
526,31020401,[0],1.9023174037089876
527,32010101,"[0, 1, 2]",1.8392998396980222
528,32010102,"[0, 2, 1]",1.8247652389775753
529,32010104,"[0, 1, 2]",1.8492331582931214
530,32010201,"[0, 1, 2]",1.743597261836851
531,32010206,"[0, 2, 1]",1.9865433947772657
532,32010209,"[1, 0]",1.849260869565217
533,32010212,"[1, 0]",1.7924152298850577
534,32010604,[0],1.8188121151842378
535,32010701,[0],1.8741544117647058
536,32010702,[0],1.7447621760182286
537,32010801,[0],1.8318628201493241
538,32010806,[0],1.9106809639284636
539,33010101,"[1, 0, 0, 2]",1.8404628618047671
540,33010102,"[0, 2, 1, 2]",1.7724745152289065
541,33010105,"[0, 0, 1, 0, 0, 2, 0]",1.758006271892455
542,33010201,"[0, 1]",1.7192606721162582
543,33010202,"[0, 1, 2]",1.9554424146147737
544,33010205,"[1, 0]",1.7788254420992584
545,33010206,"[1, 0]",1.81115451767787
546,33010208,"[0, 2, 1]",1.7359589574595564
547,33010301,"[2, 0, 2, 1, 2]",1.558225292242296
548,33010302,"[1, 2, 0, 0, 0]",1.7713991379310348
549,33010305,"[1, 0, 2]",1.7870691138514483
550,33010306,"[2, 0, 0, 0, 1]",1.795085648811229
551,33010401,"[2, 1, 2, 0, 2]",1.6956361136571956
552,33010601,"[0, 1]",1.9828347601576302
553,33010604,"[1, 0]",2.1854663382594417
554,33010605,"[1, 0, 2]",1.8527330478229835
